RMC,T,t,FPM,ph-M,E-M,BET,ph-S,CEC,TOC,E-S,E,V,LR
A,450,2.0,MC,10.97,11.49,49.0,8.08,5.53,6.58,14.35,K,300,1.8265
F,500,2.0,CO,8.38,115.6,3.73,8.08,20.0,16.99,53.3,N,2600,65.1982
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,650,7.3343
A,600,1.0,MC,6.61,100.0,150.0,5.93,20.0,9.8,0.09,N,400,11.5161
F,500,2.0,CO,8.35,204.0,164.81,6.5,12.69,14.27,0.3,N,800,49.9022
H,600,0.5,MC,9.74,0.61,6.07,7.56,54.16,18.0,0.87,N,350,9.778
H,600,1.0,MC,6.32,100.0,150.0,5.93,20.0,9.8,0.09,N,240,8.5909
F,550,2.0,CO,6.8,2.0,120.0,6.33,18.1,18.0,16.0,N,800,1.3431
I,800,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,562,89.4366
H,600,0.5,MC,9.74,0.61,6.07,7.56,54.16,18.0,0.87,N,350,6.6734
H,600,1.0,MC,6.32,100.0,150.0,5.93,20.0,9.8,0.09,N,320,9.4937
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,250,2.0468
F,500,2.0,CO,7.89,204.0,1454.17,6.5,13.88,14.27,0.3,N,200,8.4149
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,691,79.3561
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,650,5.1535
F,550,2.0,CO,6.8,0.5,120.0,6.33,18.1,18.0,0.47,P,1000,0.1405
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,750,6.0185
F,550,2.0,CO,6.5,1.8,150.0,6.33,18.1,16.0,16.0,N,600,1.0962
A,600,1.0,MC,6.61,100.0,150.0,5.93,20.0,9.8,0.09,N,800,20.7003
A,450,2.0,MC,10.97,15.28,49.0,8.08,5.53,6.58,7.06,P,400,0.2558
H,600,0.5,MC,9.74,0.61,6.07,7.56,54.16,18.0,0.87,N,150,5.6156
A,500,2.0,CO,9.01,210.0,139.6,6.5,28.24,14.27,0.3,N,500,20.5
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,150,2.4001
H,600,0.5,MC,9.74,0.61,6.07,7.56,54.16,18.0,0.87,N,550,10.8458
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,648,78.6922
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,250,6.1769
A,300,0.5,MC,8.75,1.95,3.93,7.56,54.16,18.0,0.87,N,750,16.342
F,500,2.0,MC,10.11,225.4,5.5,8.08,20.0,16.99,53.3,N,800,61.0132
A,450,2.0,MC,10.97,11.49,49.0,8.08,5.53,6.58,14.35,K,400,2.2973
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,907,82.1932
H,600,0.5,MC,9.74,0.33,6.07,7.56,54.16,18.0,75.81,K,250,10.16
F,500,2.0,CO,8.35,204.0,164.81,6.5,12.69,14.27,0.3,N,600,32.0939
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,250,2.5219
H,600,1.0,MC,6.08,216.0,150.0,5.93,20.0,9.8,62.4,K,800,87.8289
F,500,2.0,CO,7.89,216.0,1454.17,6.5,13.88,14.27,0.3,N,400,44.2914
F,600,1.0,MC,5.94,100.0,250.0,5.93,20.0,9.8,0.09,N,720,16.4634
A,600,2.0,MC,7.55,59.95,162.5,6.67,15.0,12.0,0.68,N,200,1.3272
A,600,2.0,MC,7.55,98.6,162.5,6.67,15.0,12.0,0.75,P,100,0.3432
F,550,2.0,MC,7.2,1.0,280.0,6.33,18.1,17.0,17.0,N,200,0.3159
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,475,75.493
F,550,2.0,CO,6.8,2.0,120.0,6.33,18.1,18.0,16.0,N,900,1.4378
A,500,2.0,CO,9.01,204.0,139.6,6.5,28.24,14.27,0.3,N,600,35.0294
H,600,0.5,MC,9.74,0.61,6.07,7.56,54.16,18.0,0.87,N,750,13.2635
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,907,82.3742
