RMC,T,t,FPM,ph-M,E-M,BET,ph-S,CEC,TOC,E-S,E,V,LR
H,600 ,0.5 ,MC,9.74 ,0.61 ,6.07 ,7.56 ,54.16 ,18.00 ,0.87 ,N,450 ,8.0546 
H,600 ,0.5 ,MC,9.74 ,0.61 ,6.07 ,7.56 ,54.16 ,18.00 ,0.87 ,N,550 ,9.0104 
H,600 ,0.5 ,MC,9.74 ,0.61 ,6.07 ,7.56 ,54.16 ,18.00 ,0.87 ,N,650 ,10.4191 
H,600 ,0.5 ,MC,9.74 ,0.61 ,6.07 ,7.56 ,54.16 ,18.00 ,0.87 ,N,750 ,12.7017 
H,600 ,0.5 ,MC,9.74 ,0.61 ,6.07 ,7.56 ,54.16 ,18.00 ,0.87 ,N,150 ,5.6156 
H,600 ,0.5 ,MC,9.74 ,0.61 ,6.07 ,7.56 ,54.16 ,18.00 ,0.87 ,N,250 ,7.2397 
H,600 ,0.5 ,MC,9.74 ,0.61 ,6.07 ,7.56 ,54.16 ,18.00 ,0.87 ,N,350 ,8.2920 
H,600 ,0.5 ,MC,9.74 ,0.61 ,6.07 ,7.56 ,54.16 ,18.00 ,0.87 ,N,450 ,10.4335 
H,600 ,0.5 ,MC,9.74 ,0.61 ,6.07 ,7.56 ,54.16 ,18.00 ,0.87 ,N,550 ,13.0030 
H,600 ,0.5 ,MC,9.74 ,0.61 ,6.07 ,7.56 ,54.16 ,18.00 ,0.87 ,N,650 ,15.4155 
H,600 ,0.5 ,MC,9.74 ,0.61 ,6.07 ,7.56 ,54.16 ,18.00 ,0.87 ,N,750 ,16.2684 
A,600 ,1.0 ,MC,6.61 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,80 ,7.9170 
A,600 ,1.0 ,MC,6.61 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,160 ,8.4467 
A,600 ,1.0 ,MC,6.61 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,240 ,9.2773 
A,600 ,1.0 ,MC,6.61 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,320 ,10.3606 
A,600 ,1.0 ,MC,6.61 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,400 ,11.5161 
A,600 ,1.0 ,MC,6.61 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,480 ,12.5874 
A,600 ,1.0 ,MC,6.61 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,560 ,13.9717 
A,600 ,1.0 ,MC,6.61 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,640 ,16.2467 
A,600 ,1.0 ,MC,6.61 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,720 ,18.4856 
A,600 ,1.0 ,MC,6.61 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,800 ,20.7003 
A,600 ,1.0 ,MC,6.61 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,880 ,23.3485 
H,600 ,1.0 ,MC,6.32 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,80 ,7.3993 
H,600 ,1.0 ,MC,6.32 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,160 ,7.7965 
H,600 ,1.0 ,MC,6.32 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,240 ,8.5909 
H,600 ,1.0 ,MC,6.32 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,320 ,9.4937 
H,600 ,1.0 ,MC,6.32 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,400 ,10.6252 
H,600 ,1.0 ,MC,6.32 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,480 ,11.5881 
H,600 ,1.0 ,MC,6.32 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,560 ,12.7437 
H,600 ,1.0 ,MC,6.32 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,640 ,14.7297 
H,600 ,1.0 ,MC,6.32 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,720 ,16.6074 
H,600 ,1.0 ,MC,6.32 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,800 ,18.4129 
H,600 ,1.0 ,MC,6.32 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,880 ,20.8444 
F,600 ,1.0 ,MC,5.94 ,100.00 ,250.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,80 ,7.6642 
F,600 ,1.0 ,MC,5.94 ,100.00 ,250.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,160 ,8.3143 
F,600 ,1.0 ,MC,5.94 ,100.00 ,250.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,240 ,9.2171 
F,600 ,1.0 ,MC,5.94 ,100.00 ,250.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,320 ,10.1319 
F,600 ,1.0 ,MC,5.94 ,100.00 ,250.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,400 ,11.2153 
F,600 ,1.0 ,MC,5.94 ,100.00 ,250.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,480 ,12.0819 
F,600 ,1.0 ,MC,5.94 ,100.00 ,250.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,560 ,13.2255 
F,600 ,1.0 ,MC,5.94 ,100.00 ,250.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,640 ,14.8625 
